IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
1,"Contraceptive prevalence: Any method (Percent)","Any","Estimates and Projections of Family Planning Indicators",2024,"United Nations Population Division",8,"Albania","AL","ALB",59,"2008",4,"Median",2,"Female",31,15,49,"15-49",99,"All women",1,"Model-based Estimates",2,"Interpolation",43.2
1,"Contraceptive prevalence: Any method (Percent)","Any","Estimates and Projections of Family Planning Indicators",2024,"United Nations Population Division",8,"Albania","AL","ALB",60,"2009",4,"Median",2,"Female",31,15,49,"15-49",99,"All women",1,"Model-based Estimates",2,"Interpolation",42.9
1,"Contraceptive prevalence: Any method (Percent)","Any","Estimates and Projections of Family Planning Indicators",2024,"United Nations Population Division",8,"Albania","AL","ALB",61,"2010",4,"Median",2,"Female",31,15,49,"15-49",99,"All women",1,"Model-based Estimates",2,"Interpolation",42.7
1,"Contraceptive prevalence: Any method (Percent)","Any","Estimates and Projections of Family Planning Indicators",2024,"United Nations Population Division",8,"Albania","AL","ALB",62,"2011",4,"Median",2,"Female",31,15,49,"15-49",99,"All women",1,"Model-based Estimates",2,"Interpolation",42.5
1,"Contraceptive prevalence: Any method (Percent)","Any","Estimates and Projections of Family Planning Indicators",2024,"United Nations Population Division",8,"Albania","AL","ALB",63,"2012",4,"Median",2,"Female",31,15,49,"15-49",99,"All women",1,"Model-based Estimates",2,"Interpolation",42.5
1,"Contraceptive prevalence: Any method (Percent)","Any","Estimates and Projections of Family Planning Indicators",2024,"United Nations Population Division",8,"Albania","AL","ALB",64,"2013",4,"Median",2,"Female",31,15,49,"15-49",99,"All women",1,"Model-based Estimates",2,"Interpolation",42.6
1,"Contraceptive prevalence: Any method (Percent)","Any","Estimates and Projections of Family Planning Indicators",2024,"United Nations Population Division",8,"Albania","AL","ALB",65,"2014",4,"Median",2,"Female",31,15,49,"15-49",99,"All women",1,"Model-based Estimates",2,"Interpolation",42.8
1,"Contraceptive prevalence: Any method (Percent)","Any","Estimates and Projections of Family Planning Indicators",2024,"United Nations Population Division",8,"Albania","AL","ALB",66,"2015",4,"Median",2,"Female",31,15,49,"15-49",99,"All women",1,"Model-based Estimates",2,"Interpolation",43.1
1,"Contraceptive prevalence: Any method (Percent)","Any","Estimates and Projections of Family Planning Indicators",2024,"United Nations Population Division",8,"Albania","AL","ALB",67,"2016",4,"Median",2,"Female",31,15,49,"15-49",99,"All women",1,"Model-based Estimates",2,"Interpolation",43.5
1,"Contraceptive prevalence: Any method (Percent)","Any","Estimates and Projections of Family Planning Indicators",2024,"United Nations Population Division",8,"Albania","AL","ALB",68,"2017",4,"Median",2,"Female",31,15,49,"15-49",99,"All women",1,"Model-based Estimates",2,"Interpolation",43.9
