IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",59,"2008",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",19.05
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",60,"2009",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",18.18
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",61,"2010",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",17.3
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",62,"2011",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",17.23
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",63,"2012",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",17.16
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",64,"2013",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",17.09
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",65,"2014",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",17.01
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",66,"2015",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",16.94
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",67,"2016",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",16.87
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",68,"2017",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",16.8
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",69,"2018",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",16.73
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",70,"2019",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",16.66
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",71,"2020",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",16.58
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",72,"2021",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",16.51
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",73,"2022",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",16.44
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",31,"Azerbaijan","AZ","AZE",59,"2008",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",5.79
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",31,"Azerbaijan","AZ","AZE",60,"2009",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",5.7
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",31,"Azerbaijan","AZ","AZE",61,"2010",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",5.62
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",31,"Azerbaijan","AZ","AZE",62,"2011",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",5.53
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",31,"Azerbaijan","AZ","AZE",63,"2012",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",5.45
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",31,"Azerbaijan","AZ","AZE",64,"2013",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",5.37
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",31,"Azerbaijan","AZ","AZE",65,"2014",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",5.28
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",31,"Azerbaijan","AZ","AZE",66,"2015",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",5.2
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",31,"Azerbaijan","AZ","AZE",67,"2016",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",5.11
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",31,"Azerbaijan","AZ","AZE",68,"2017",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",5.03
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",31,"Azerbaijan","AZ","AZE",69,"2018",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",4.94
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",31,"Azerbaijan","AZ","AZE",70,"2019",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",4.86
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",31,"Azerbaijan","AZ","AZE",71,"2020",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",3,"Projection",4.79
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",31,"Azerbaijan","AZ","AZE",72,"2021",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",3,"Projection",4.73
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",31,"Azerbaijan","AZ","AZE",73,"2022",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",3,"Projection",4.67
