IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",59,"2008",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",2.41
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",60,"2009",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",2.29
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",61,"2010",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",2.17
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",62,"2011",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",2.05
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",63,"2012",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",1.93
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",64,"2013",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",1.81
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",65,"2014",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",1.69
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",66,"2015",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",1.57
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",67,"2016",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",1.45
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",68,"2017",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",1.33
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",69,"2018",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",1.21
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",70,"2019",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",1.09
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",71,"2020",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",2,"Interpolation",0.97
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",72,"2021",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",3,"Projection",0.92
44,"Currently married by age of woman (Percent)","Currently married by age of woman (Percent)","Estimates and Projections of Women of Reproductive Age Who Are Married or in a Union 2024",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",73,"2022",4,"Median",2,"Female",67,15,19,"15-19",100,"Married or in a union women",1,"Model-based Estimates",3,"Projection",0.88
